小節,拍數(onset),調性,和弦級數,和弦編號,備註
94,0,D,D#:maj,4,special: N
95,0,D,G#:dim7,45,second
96,0,D,D:maj,3,NaN
97,0,D,A:7,22,NaN
97,2,D,A:7,22,NaN
98,0,D,D:maj,3,NaN
98,1,D,G:maj,8,NaN
99,0,D,G:maj,8,NaN
99,1,D,D:maj,3,NaN
99,2,D,E:min,29,NaN
99,3,D,A:7,22,NaN
100,0,D,D:maj,3,NaN
100,1,D,G:maj,8,NaN
101,0,D,E:min,29,NaN
101,1,D,D:maj,3,NaN
101,2,D,E:min,29,NaN
101,3,D,A:7,22,NaN
102,0,D,D:maj,3,NaN
102,1.5,D,A:7,22,NaN
102,2,D,D:maj,3,NaN
102,3.5,D,A:7,22,NaN
103,0,D,D:maj,3,NaN
