小節,拍數(onset),調性,和弦級數,和弦編號,備註
84,0,G,D:maj,3,NaN
85,0,G,G:maj,8,NaN
86,0,G,D:maj,3,NaN
87,0,G,D:maj,3,NaN
88,0,G,G:maj,8,NaN
88,1,G,D:maj,3,NaN
88,2,G,G:maj,8,NaN
88,3,G,D:maj,3,NaN
89,0,G,G:maj,8,NaN
89,1,G,D:maj,3,NaN
90,0,G,D:maj,3,NaN
90,1,G,G:maj,8,NaN
90,2,G,D:maj,3,NaN
90,3,G,G:maj,8,NaN
91,0,G,D:7,15,NaN
91,1,G,G:maj,8,NaN
92,0,G,A:min,34,NaN
92,2,G,G:maj,8,NaN
93,0,G,A:min,34,NaN
93,2,G,G:maj,8,NaN
94,0,G,A:min,34,NaN
94,3,G,A:maj,10,second
95,0,G,D:maj,3,NaN
96,0,G,G:maj,8,NaN
96,1,G,D:maj,3,NaN
96,2,G,G:maj,8,NaN
96,3,G,D:maj,3,NaN
97,0,G,G:maj,8,NaN
97,1,G,D:maj,3,NaN
98,0,G,D:maj,3,NaN
98,1,G,G:maj,8,NaN
98,2,G,D:maj,3,NaN
98,3,G,G:maj,8,NaN
99,0,G,D:7,15,NaN
99,1,G,G:maj,8,NaN
100,0,G,A:min,34,NaN
100,2,G,G:maj,8,NaN
101,0,G,A:min,34,NaN
101,2,G,G:maj,8,NaN
102,0,G,A:min,34,NaN
102,2,G,G:maj,8,NaN
102,3,G,D:maj,3,NaN
103,0,G,G:maj,8,NaN
104,0,G,D:7,15,NaN
105,0,G,G:maj,8,NaN
106,0,G,D:7,15,NaN
107,0,G,G:maj,8,NaN
108,0,G,G:7,20,second
109,0,G,A:min,34,NaN
109,2,G,G:maj,8,NaN
109,3,G,D:7,15,NaN
110,0,G,G:maj,8,NaN
111,0,G,C:maj,1,NaN
112,0,G,G:maj,8,NaN
112,1,G,A:min,34,NaN
112,2,G,G:maj,8,NaN
112,3,G,D:maj,3,NaN
113,0,G,G:maj,8,NaN
114,0,G,C:maj,1,NaN
115,0,G,G:maj,8,NaN
115,1,G,A:min,34,NaN
115,2,G,G:maj,8,NaN
115,3,G,D:maj,3,NaN
116,0,G,G:maj,8,NaN
116,2,G,D:7,15,NaN
117,0,G,G:maj,8,NaN
117,2,G,D:7,15,NaN
118,0,G,G:maj,8,NaN
118,2,G,D:7,15,NaN
119,0,G,G:maj,8,NaN
119,2,G,D:7,15,NaN
120,0,G,G:maj,8,NaN
120,1,G,D:7,15,NaN
120,2,G,G:maj,8,NaN
120,3,G,D:7,15,NaN
121,0,G,G:maj,8,NaN
121,2,G,D:7,15,NaN
122,0,G,G:maj,8,NaN
